OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
0	0	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06
5	0	20	-1.0304E+00	6.4456E-01	-3.3507E-06	2.3431E-06	-1.0304E+00	6.4456E-01	-3.3507E-06	2.3431E-06
10	0	20	-9.9637E-01	6.5148E-01	-7.3319E-07	1.2200E-06	-9.9637E-01	6.5148E-01	-7.3319E-07	1.2200E-06
15	0	20	-9.4640E-01	6.5988E-01	6.2527E-07	1.9935E-06	-9.4640E-01	6.5988E-01	6.2527E-07	1.9935E-06
20	0	20	-8.8791E-01	6.6586E-01	2.4728E-07	3.9703E-06	-8.8791E-01	6.6586E-01	2.4728E-07	3.9703E-06
25	0	20	-8.2733E-01	6.6539E-01	-1.8502E-06	5.9777E-06	-8.2733E-01	6.6539E-01	-1.8502E-06	5.9777E-06
30	0	20	-7.6830E-01	6.5534E-01	-5.1020E-06	6.8720E-06	-7.6830E-01	6.5534E-01	-5.1020E-06	6.8720E-06
35	0	20	-7.1126E-01	6.3429E-01	-8.5779E-06	5.9932E-06	-7.1126E-01	6.3429E-01	-8.5779E-06	5.9932E-06
40	0	20	-6.5422E-01	6.0284E-01	-1.1319E-05	3.3673E-06	-6.5422E-01	6.0284E-01	-1.1319E-05	3.3673E-06
45	0	20	-5.9440E-01	5.6336E-01	-1.2664E-05	-4.0075E-07	-5.9440E-01	5.6336E-01	-1.2664E-05	-4.0075E-07
50	0	20	-5.2963E-01	5.1925E-01	-1.2428E-05	-4.4415E-06	-5.2963E-01	5.1925E-01	-1.2428E-05	-4.4415E-06
55	0	20	-4.5928E-01	4.7412E-01	-1.0874E-05	-7.9693E-06	-4.5928E-01	4.7412E-01	-1.0874E-05	-7.9693E-06
60	0	20	-3.8447E-01	4.3096E-01	-8.5299E-06	-1.0515E-05	-3.8447E-01	4.3096E-01	-8.5299E-06	-1.0515E-05
65	0	20	-3.0755E-01	3.9174E-01	-5.9671E-06	-1.1989E-05	-3.0755E-01	3.9174E-01	-5.9671E-06	-1.1989E-05
70	0	20	-2.3146E-01	3.5728E-01	-3.6187E-06	-1.2593E-05	-2.3146E-01	3.5728E-01	-3.6187E-06	-1.2593E-05
75	0	20	-1.5902E-01	3.2744E-01	-1.6988E-06	-1.2678E-05	-1.5902E-01	3.2744E-01	-1.6988E-06	-1.2678E-05
80	0	20	-9.2459E-02	3.0149E-01	-2.1032E-07	-1.2594E-05	-9.2459E-02	3.0149E-01	-2.1032E-07	-1.2594E-05
85	0	20	-3.3249E-02	2.7840E-01	9.9201E-07	-1.2596E-05	-3.3249E-02	2.7840E-01	9.9201E-07	-1.2596E-05
90	0	20	1.7842E-02	2.5712E-01	2.1180E-06	-1.2803E-05	1.7842E-02	2.5712E-01	2.1180E-06	-1.2803E-05
0	5	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-1.0385E+00	6.3947E-01	9.0850E-02	-5.5941E-02
5	5	20	-1.0305E+00	6.4452E-01	1.1740E-03	4.4517E-04	-1.0265E+00	6.4211E-01	9.0981E-02	-5.5730E-02
10	5	20	-9.9676E-01	6.5134E-01	4.4071E-03	1.6839E-03	-9.9258E-01	6.4901E-01	9.1264E-02	-5.5090E-02
15	5	20	-9.4719E-01	6.5959E-01	8.8956E-03	3.4708E-03	-9.4281E-01	6.5738E-01	9.1415E-02	-5.4030E-02
20	5	20	-8.8912E-01	6.6541E-01	1.3625E-02	5.4371E-03	-8.8455E-01	6.6335E-01	9.1065E-02	-5.2578E-02
25	5	20	-8.2891E-01	6.6480E-01	1.7687E-02	7.1689E-03	-8.2422E-01	6.6289E-01	8.9864E-02	-5.0799E-02
30	5	20	-7.7015E-01	6.5466E-01	2.0523E-02	8.2973E-03	-7.6544E-01	6.5289E-01	8.7569E-02	-4.8792E-02
35	5	20	-7.1325E-01	6.3360E-01	2.2006E-02	8.5809E-03	-7.0862E-01	6.3194E-01	8.4086E-02	-4.6674E-02
40	5	20	-6.5627E-01	6.0222E-01	2.2356E-02	7.9553E-03	-6.5182E-01	6.0062E-01	7.9469E-02	-4.4562E-02
45	5	20	-5.9642E-01	5.6286E-01	2.1976E-02	6.5331E-03	-5.9224E-01	5.6129E-01	7.3874E-02	-4.2549E-02
50	5	20	-5.3159E-01	5.1894E-01	2.1265E-02	4.5579E-03	-5.2771E-01	5.1736E-01	6.7515E-02	-4.0688E-02
55	5	20	-4.6117E-01	4.7401E-01	2.0497E-02	2.3331E-03	-4.5763E-01	4.7241E-01	6.0612E-02	-3.8988E-02
60	5	20	-3.8629E-01	4.3105E-01	1.9774E-02	1.5228E-04	-3.8309E-01	4.2942E-01	5.3366E-02	-3.7416E-02
65	5	20	-3.0929E-01	3.9200E-01	1.9061E-02	-1.7493E-03	-3.0646E-01	3.9035E-01	4.5945E-02	-3.5908E-02
70	5	20	-2.3312E-01	3.5767E-01	1.8237E-02	-3.2131E-03	-2.3064E-01	3.5603E-01	3.8486E-02	-3.4374E-02
75	5	20	-1.6057E-01	3.2792E-01	1.7171E-02	-4.1523E-03	-1.5846E-01	3.2631E-01	3.1100E-02	-3.2716E-02
80	5	20	-9.3864E-02	3.0200E-01	1.5765E-02	-4.5333E-03	-9.2133E-02	3.0046E-01	2.3886E-02	-3.0837E-02
85	5	20	-3.4483E-02	2.7889E-01	1.3986E-02	-4.3555E-03	-3.3132E-02	2.7745E-01	1.6938E-02	-2.8646E-02
90	5	20	1.6808E-02	2.5755E-01	1.1871E-02	-3.6383E-03	1.7778E-02	2.5625E-01	1.0361E-02	-2.6071E-02
0	10	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-1.0266E+00	6.3216E-01	1.8102E-01	-1.1146E-01
5	10	20	-1.0308E+00	6.4441E-01	2.3156E-03	8.7456E-04	-1.0147E+00	6.3477E-01	1.8127E-01	-1.1104E-01
10	10	20	-9.9792E-01	6.5092E-01	8.6809E-03	3.3155E-03	-9.8125E-01	6.4161E-01	1.8184E-01	-1.0977E-01
15	10	20	-9.4954E-01	6.5873E-01	1.7520E-02	6.8346E-03	-9.3207E-01	6.4991E-01	1.8214E-01	-1.0766E-01
20	10	20	-8.9273E-01	6.6407E-01	2.6833E-02	1.0706E-02	-8.7451E-01	6.5584E-01	1.8145E-01	-1.0477E-01
25	10	20	-8.3362E-01	6.6304E-01	3.4834E-02	1.4116E-02	-8.1491E-01	6.5542E-01	1.7906E-01	-1.0123E-01
30	10	20	-7.7565E-01	6.5264E-01	4.0423E-02	1.6339E-02	-7.5685E-01	6.4557E-01	1.7450E-01	-9.7239E-02
35	10	20	-7.1918E-01	6.3154E-01	4.3344E-02	1.6900E-02	-7.0073E-01	6.2488E-01	1.6757E-01	-9.3023E-02
40	10	20	-6.6233E-01	6.0035E-01	4.4036E-02	1.5672E-02	-6.4462E-01	5.9395E-01	1.5838E-01	-8.8816E-02
45	10	20	-6.0242E-01	5.6139E-01	4.3290E-02	1.2875E-02	-5.8575E-01	5.5510E-01	1.4724E-01	-8.4805E-02
50	10	20	-5.3741E-01	5.1800E-01	4.1892E-02	8.9893E-03	-5.2197E-01	5.1169E-01	1.3458E-01	-8.1097E-02
55	10	20	-4.6679E-01	4.7367E-01	4.0380E-02	4.6116E-03	-4.5268E-01	4.6727E-01	1.2082E-01	-7.7710E-02
60	10	20	-3.9169E-01	4.3129E-01	3.8959E-02	3.1964E-04	-3.7897E-01	4.2479E-01	1.0638E-01	-7.4578E-02
65	10	20	-3.1447E-01	3.9275E-01	3.7556E-02	-3.4229E-03	-3.0318E-01	3.8619E-01	9.1593E-02	-7.1572E-02
70	10	20	-2.3804E-01	3.5882E-01	3.5935E-02	-6.3038E-03	-2.2818E-01	3.5227E-01	7.6724E-02	-6.8516E-02
75	10	20	-1.6516E-01	3.2932E-01	3.3834E-02	-8.1518E-03	-1.5677E-01	3.2290E-01	6.2000E-02	-6.5214E-02
80	10	20	-9.8040E-02	3.0351E-01	3.1064E-02	-8.9005E-03	-9.1156E-02	2.9735E-01	4.7617E-02	-6.1469E-02
85	10	20	-3.8149E-02	2.8035E-01	2.7560E-02	-8.5488E-03	-3.2783E-02	2.7461E-01	3.3766E-02	-5.7102E-02
90	10	20	1.3736E-02	2.5881E-01	2.3390E-02	-7.1348E-03	1.7589E-02	2.5364E-01	2.0650E-02	-5.1968E-02
0	15	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-1.0069E+00	6.2004E-01	2.6980E-01	-1.6613E-01
5	15	20	-1.0313E+00	6.4423E-01	3.3866E-03	1.2775E-03	-9.9527E-01	6.2261E-01	2.7019E-01	-1.6551E-01
10	15	20	-9.9981E-01	6.5024E-01	1.2691E-02	4.8466E-03	-9.6246E-01	6.2933E-01	2.7103E-01	-1.6361E-01
15	15	20	-9.5337E-01	6.5733E-01	2.5610E-02	9.9916E-03	-9.1426E-01	6.3751E-01	2.7149E-01	-1.6048E-01
20	15	20	-8.9862E-01	6.6188E-01	3.9223E-02	1.5652E-02	-8.5785E-01	6.4337E-01	2.7047E-01	-1.5619E-01
25	15	20	-8.4131E-01	6.6017E-01	5.0917E-02	2.0640E-02	-7.9946E-01	6.4301E-01	2.6693E-01	-1.5093E-01
30	15	20	-7.8462E-01	6.4935E-01	5.9083E-02	2.3892E-02	-7.4259E-01	6.3341E-01	2.6014E-01	-1.4499E-01
35	15	20	-7.2886E-01	6.2818E-01	6.3352E-02	2.4716E-02	-6.8763E-01	6.1317E-01	2.4984E-01	-1.3871E-01
40	15	20	-6.7223E-01	5.9730E-01	6.4363E-02	2.2924E-02	-6.3267E-01	5.8288E-01	2.3616E-01	-1.3245E-01
